user_id,email,signup_date,country
u30000,alice0@example.com,2026-05-26,IN
u30001,erin1@example.com,2026-10-03,US
u30002,erin2.mail.org,2026-04-28,JP
u30003,grace3@mail.org,2026-12-02,IN
u30004,carol4@corp.net,2026-05-12,DE
u30005,bob5@webmail.in,2026-02-01,DE
u30006,frank6@webmail.in,2026-12-24,BR
u30007,erin7@example.com,2026-08-12,US
u30008,frank8@mail.org,2026-11-26,IN
u30009,,2026-12-20,JP
u30010,dave10@,2026-07-27,JP
u30011,heidi11@example.com,2026-09-13,IN
u30012,alice12@corp.net,2026-06-10,US
u30013,carol13@example.com,2026-10-09,IN
u30014,grace14@example.com,2026-01-20,BR
u30015,frank15@corp.net,2026-08-15,US
u30016,frank16@corp.net,2026-04-21,BR
u30017,dave17@webmail.in,2026-01-05,IN
u30018,erin18@webmail.in,2026-02-06,BR
u30019,dave19@example.com,2026-02-03,US
u30020,grace20@mail.org,2026-02-22,JP
u30021,grace21@corp.net,2026-07-25,JP
u30022,grace22@mail.org,2026-12-17,IN
u30023,bob23@corp.net,2026-10-21,JP
u30024,dave24@corp.net,2026-06-15,BR
u30025,dave25@webmail.in,2026-09-18,IN
u30026,grace26@example.com,2026-11-28,JP
u30027,alice27@mail.org,2026-10-08,US
u30028,alice28@example.com,2026-02-20,DE
u30029,erin29@corp.net,2026-08-26,BR
u30030,grace30@example.com,2026-12-25,JP
u30031,heidi31@webmail.in,2026-10-02,JP
u30032,,2026-01-03,DE
u30033,bob33@mail.org,2026-07-11,US
u30034,alice34@webmail.in,2026-06-24,US
u30035,bob35@webmail.in,2026-10-19,IN
u30036,carol36@mail.org,2026-02-24,IN
u30037,carol37@corp.net,2026-05-21,BR
u30038,carol38@corp.net,,DE
u30039,dave39@example.com,2026-04-04,IN
u30040,alice40@webmail.in,2026-01-20,JP
u30041,frank41@corp.net,2026-08-21,BR
u30042,erin42@corp.net,2026-05-28,IN
u30043,,2026-03-16,BR
u30044,dave44@example.com,2026-03-22,BR
u30045,heidi45@webmail.in,2026-02-03,BR
u30046,grace46@corp.net,2026-04-17,DE
u30047,carol47@webmail.in,2026-02-25,BR
u30048,heidi48@mail.org,2026-12-24,JP
u30049,dave49@webmail.in,2026-03-28,DE
u30050,alice50@corp.net,2026-01-04,US
u30051,heidi51@webmail.in,2026-06-05,DE
u30052,alice52@corp.net,2026-12-10,BR
u30053,,2026-09-10,IN
u30054,heidi54@mail.org,2026-06-19,BR
u30055,erin55@webmail.in,2026-02-06,US
u30056,bob56@webmail.in,2026-07-24,DE
u30057,erin57@example.com,2026-03-27,JP
u30058,frank58@mail.org,2026-10-15,JP
u30059,grace59@webmail.in,2026-03-16,IN
u30060,erin60@example.com,2026-05-03,DE
u30061,erin61@,2026-03-01,BR
u30062,erin62@example.com,,IN
u30063,dave63@webmail.in,2026-10-14,US
u30064,erin64@corp.net,2026-08-21,IN
u30065,erin65@mail.org,2026-07-15,JP
u30066,bob66@mail.org,2026-08-26,DE
u30067,frank67@corp.net,2026-04-11,JP
u30068,dave68@corp.net,2026-04-05,US
u30069,alice69@mail.org,2026-08-25,DE
u30070,heidi70@corp.net,2026-05-04,IN
u30071,dave71@corp.net,2026-06-21,JP
u30072,erin72@mail.org,2026-03-14,BR
u30073,dave73@webmail.in,2026-09-07,US
u30074,erin74@corp.net,2026-11-10,DE
u30075,alice75@webmail.in,2026-11-17,IN
u30076,carol76@webmail.in,2026-09-01,DE
u30077,dave77@corp.net,2026-09-09,IN
u30078,dave78@webmail.in,2026-04-23,BR
u30079,heidi79@mail.org,2026-11-28,DE
u30080,carol80@mail.org,2026-10-28,US
u30081,carol81@webmail.in,2026-11-28,US
u30082,dave82@corp.net,2026-10-16,JP
u30083,heidi83@webmail.in,2026-05-17,BR
u30084,grace84@webmail.in,2026-04-27,JP
u30085,erin85@example.com,2026-08-18,BR
u30086,heidi86@example.com,2026-08-08,DE
u30087,heidi87@webmail.in,2026-11-06,DE
u30088,grace88@corp.net,2026-04-24,IN
u30089,grace89@mail.org,2026-07-04,BR
u30090,alice90@mail.org,2026-05-21,BR
u30091,grace91@corp.net,2026-12-25,JP
u30092,dave92@corp.net,2026-09-17,JP
u30093,erin93@mail.org,2026-03-24,DE
u30094,dave94@example.com,2026-05-11,DE
u30095,alice95@mail.org,2026-08-10,US
u30096,bob96@webmail.in,2026-08-24,IN
u30097,erin97@mail.org,2026-01-22,DE
u30098,dave98@example.com,2026-03-02,JP
u30099,frank99@mail.org,2026-12-05,JP
