user_id,email,signup_date,country
u00000,dave0@example.com,2026-09-07,BR
u00001,grace1@mail.org,2026-08-19,DE
u00002,alice2@mail.org,2026-12-14,DE
u00003,erin3.mail.org,2026-04-25,DE
u00004,bob4@webmail.in,2026-02-12,
u00005,erin5@example.com,2026-12-15,BR
u00006,bob6@webmail.in,2026-02-18,DE
u00007,frank7@mail.org,2026-12-03,IN
u00008,dave8@corp.net,2026-02-28,US
u00009,bob9@webmail.in,2026-05-15,DE
u00010,carol10@corp.net,2026-06-07,DE
u00011,bob11@,2026-09-24,US
u00012,heidi12@webmail.in,2026-05-21,BR
u00013,,2026-01-08,IN
u00014,,2026-02-07,BR
u00015,dave15@webmail.in,2026-07-21,JP
u00016,carol16@corp.net,2026-03-08,BR
u00017,erin17@,2026-10-13,DE
u00018,carol18@webmail.in,2026-02-25,IN
u00019,bob19@mail.org,2026-11-06,JP
u00020,bob20@webmail.in,2026-07-20,JP
u00021,erin21@example.com,2026-11-24,IN
u00022,erin22@corp.net,2026-02-10,JP
u00023,carol23@webmail.in,2026-01-24,DE
u00024,carol24@example.com,2026-11-10,BR
u00025,dave25@mail.org,2026-06-25,US
u00026,alice26@corp.net,2026-08-01,IN
u00027,frank27@corp.net,2026-04-02,
u00028,bob28@example.com,2026-12-16,
u00029,carol29@mail.org,2026-11-16,BR
u00030,carol30@corp.net,2026-09-28,BR
u00031,,2026-09-25,US
u00032,grace32@corp.net,2026-08-17,JP
u00033,bob33@mail.org,2026-04-03,DE
u00034,alice34@mail.org,2026-10-08,IN
u00035,,2026-04-03,IN
u00036,bob36@mail.org,2026-05-22,JP
u00037,dave37@mail.org,2026-12-19,BR
u00038,heidi38@mail.org,2026-08-26,JP
u00039,dave39@example.com,2026-02-22,JP
u00040,frank40@webmail.in,2026-07-15,IN
u00041,bob41@example.com,2026-07-24,DE
u00042,bob42@mail.org,2026-04-07,BR
u00043,heidi43@mail.org,2026-07-06,DE
u00044,heidi44@mail.org,2026-02-15,BR
u00045,bob45@example.com,2026-11-18,IN
u00046,bob46@mail.org,2026-03-14,JP
u00047,heidi47@mail.org,2026-07-02,US
u00048,grace48@example.com,2026-07-09,JP
u00049,erin49@webmail.in,2026-12-24,BR
u00050,heidi50@mail.org,2026-04-10,US
u00051,alice51@example.com,2026-12-11,IN
u00052,alice52@webmail.in,2026-09-28,BR
u00053,carol53@example.com,2026-09-03,US
u00054,bob54@example.com,,US
u00055,bob55@mail.org,2026-10-20,IN
u00056,bob56@webmail.in,2026-11-19,BR
u00057,frank57@corp.net,2026-04-22,DE
u00058,dave58@corp.net,2026-07-05,DE
u00059,heidi59@corp.net,2026-02-01,JP
u00060,bob60@example.com,2026-09-07,BR
u00061,erin61@mail.org,2026-06-03,US
u00062,frank62@corp.net,2026-03-15,BR
u00063,erin63@example.com,2026-11-27,BR
u00064,erin64@example.com,2026-03-09,IN
u00065,bob65@mail.org,2026-05-10,BR
u00066,dave66@corp.net,2026-04-22,DE
u00067,heidi67@corp.net,2026-01-03,JP
u00068,erin68@example.com,2026-01-11,US
u00069,erin69@mail.org,,BR
u00070,alice70@example.com,2026-02-23,US
u00071,alice71@corp.net,2026-10-18,US
u00072,grace72@mail.org,2026-01-10,DE
u00073,alice73@corp.net,2026-04-22,US
u00074,bob74@corp.net,2026-09-28,JP
u00075,carol75@mail.org,,US
u00076,alice76@mail.org,2026-12-11,JP
u00077,dave77@corp.net,2026-03-26,IN
u00078,grace78@example.com,2026-08-08,US
u00079,heidi79@corp.net,2026-05-27,US
u00080,dave80@example.com,2026-11-07,JP
u00081,frank81@corp.net,2026-02-25,DE
u00082,frank82@webmail.in,2026-11-27,BR
u00083,frank83@example.com,2026-02-09,US
u00084,erin84@example.com,2026-02-20,JP
u00085,frank85@corp.net,2026-07-20,BR
u00086,bob86.webmail.in,2026-10-07,DE
u00087,grace87@example.com,2026-09-26,BR
u00088,dave88@corp.net,2026-07-03,DE
u00089,frank89@example.com,2026-12-10,BR
u00090,erin90@webmail.in,2026-06-13,DE
u00091,carol91@mail.org,2026-07-22,JP
u00092,carol92@corp.net,2026-07-18,IN
u00093,erin93@corp.net,2026-04-14,BR
u00094,frank94@webmail.in,2026-08-15,
u00095,heidi95@mail.org,2026-11-03,DE
u00096,frank96@example.com,2026-04-22,DE
u00097,dave97@mail.org,2026-03-01,IN
u00098,dave98@webmail.in,2026-10-28,IN
u00099,heidi99@webmail.in,2026-11-19,US
