user_id,email,signup_date,country
u60000,bob0@webmail.in,2026-11-08,US
u60001,carol1@webmail.in,2026-04-01,IN
u60002,grace2@example.com,2026-03-16,US
u60003,carol3@example.com,2026-12-18,DE
u60004,frank4@corp.net,2026-02-27,US
u60005,erin5@corp.net,2026-11-01,BR
u60006,erin6@mail.org,2026-06-21,JP
u60007,carol7@mail.org,2026-07-26,BR
u60008,erin8@example.com,2026-06-04,DE
u60009,erin9@webmail.in,2026-12-04,IN
u60010,dave10@mail.org,2026-06-16,BR
u60011,frank11@webmail.in,2026-02-25,IN
u60012,frank12@webmail.in,2026-07-11,IN
u60013,grace13@webmail.in,2026-07-20,DE
u60014,carol14@corp.net,2026-04-15,BR
u60015,dave15@mail.org,2026-04-05,US
u60016,erin16@webmail.in,,BR
u60017,grace17@example.com,2026-08-17,DE
u60018,alice18@example.com,2026-01-01,IN
u60019,frank19@corp.net,,BR
u60020,heidi20@example.com,2026-08-19,IN
u60021,heidi21@mail.org,2026-04-25,
u60022,dave22@mail.org,2026-06-02,JP
u60023,grace23@example.com,2026-05-20,IN
u60024,frank24@,2026-11-14,IN
u60025,heidi25@corp.net,2026-02-21,IN
u60026,bob26@mail.org,2026-03-27,US
u60027,bob27@mail.org,2026-04-09,DE
u60028,dave28@mail.org,2026-10-21,JP
u60029,alice29@example.com,2026-10-19,IN
u60030,grace30@example.com,2026-12-09,BR
u60031,carol31@example.com,2026-03-27,IN
u60032,bob32@webmail.in,2026-09-25,BR
u60033,heidi33@corp.net,2026-08-13,DE
u60034,erin34@webmail.in,2026-04-05,IN
u60035,heidi35@webmail.in,2026-04-19,DE
u60036,bob36@mail.org,2026-01-06,JP
u60037,bob37@corp.net,2026-07-02,DE
u60038,carol38@,2026-11-11,BR
u60039,dave39@example.com,2026-01-15,US
u60040,heidi40.corp.net,2026-02-02,US
u60041,bob41@example.com,2026-03-08,JP
u60042,bob42@example.com,2026-08-16,US
u60043,bob43@example.com,2026-11-10,IN
u60044,dave44@webmail.in,2026-05-12,IN
u60045,erin45@mail.org,2026-04-23,DE
u60046,grace46@webmail.in,2026-10-18,BR
u60047,frank47@corp.net,2026-06-27,US
u60048,carol48@webmail.in,2026-09-03,US
u60049,carol49@corp.net,2026-07-27,IN
u60050,dave50@corp.net,2026-10-16,JP
u60051,erin51@webmail.in,2026-02-13,IN
u60052,erin52@corp.net,2026-01-13,DE
u60053,grace53@mail.org,2026-05-27,DE
u60054,carol54@webmail.in,2026-02-24,IN
u60055,alice55@example.com,,DE
u60056,carol56@mail.org,2026-05-10,JP
u60057,carol57@corp.net,2026-11-25,US
u60058,frank58@corp.net,2026-08-03,JP
u60059,alice59@mail.org,2026-09-21,IN
u60060,heidi60@corp.net,2026-09-23,BR
u60061,erin61@webmail.in,2026-12-12,DE
u60062,carol62@example.com,2026-08-14,BR
u60063,dave63@webmail.in,2026-02-02,JP
u60064,carol64@corp.net,,IN
u60065,erin65@webmail.in,2026-02-26,JP
u60066,alice66@corp.net,2026-02-06,US
u60067,grace67@example.com,2026-10-01,DE
u60068,bob68@mail.org,,IN
u60069,erin69@example.com,2026-01-26,JP
u60070,dave70@webmail.in,2026-09-24,IN
u60071,frank71@webmail.in,,BR
u60072,bob72@mail.org,2026-02-24,JP
u60073,carol73@corp.net,2026-08-01,IN
u60074,heidi74@example.com,2026-12-21,US
u60075,bob75@corp.net,2026-08-20,IN
u60076,heidi76@example.com,2026-04-08,DE
u60077,erin77@mail.org,2026-09-18,DE
u60078,carol78@webmail.in,2026-01-01,BR
u60079,bob79@example.com,2026-11-03,BR
u60080,frank80@webmail.in,2026-11-17,US
u60081,alice81@mail.org,2026-02-10,DE
u60082,grace82@mail.org,2026-01-04,US
u60083,alice83@example.com,2026-10-08,JP
u60084,grace84.mail.org,2026-01-16,US
u60085,alice85@webmail.in,2026-10-05,US
u60086,heidi86@corp.net,2026-10-23,BR
u60087,dave87@webmail.in,2026-06-13,BR
u60088,bob88@example.com,2026-09-19,IN
u60089,heidi89@corp.net,2026-11-21,BR
u60090,bob90@corp.net,2026-05-25,US
u60091,grace91@corp.net,,BR
u60092,carol92@webmail.in,2026-07-13,US
u60093,erin93@mail.org,2026-05-27,DE
u60094,erin94@webmail.in,2026-11-22,DE
u60095,alice95@webmail.in,2026-06-15,IN
u60096,frank96@mail.org,2026-07-13,BR
u60097,carol97@mail.org,2026-03-12,
u60098,grace98@corp.net,2026-09-26,IN
u60099,carol99@example.com,2026-06-17,US
