user_id,email,signup_date,country
u40000,carol0@example.com,2026-01-03,DE
u40001,alice1@example.com,2026-03-18,DE
u40002,frank2@example.com,2026-07-23,JP
u40003,frank3@mail.org,2026-08-15,IN
u40004,heidi4@example.com,2026-07-08,DE
u40005,,2026-03-04,BR
u40006,bob6@corp.net,2026-08-28,JP
u40007,carol7@webmail.in,2026-05-12,US
u40008,bob8@mail.org,2026-10-23,DE
u40009,bob9@corp.net,2026-02-12,BR
u40010,carol10@corp.net,2026-09-25,BR
u40011,carol11@mail.org,2026-02-13,IN
u40012,frank12@mail.org,2026-10-01,US
u40013,erin13@webmail.in,2026-10-22,IN
u40014,alice14@mail.org,2026-04-12,IN
u40015,bob15@webmail.in,2026-08-21,US
u40016,carol16@webmail.in,2026-09-25,DE
u40017,heidi17@webmail.in,2026-12-05,JP
u40018,erin18@webmail.in,2026-03-13,IN
u40019,bob19@example.com,2026-04-04,JP
u40020,frank20@corp.net,2026-11-20,BR
u40021,frank21@example.com,2026-07-08,DE
u40022,grace22@webmail.in,2026-05-10,BR
u40023,alice23@mail.org,2026-01-20,DE
u40024,grace24@corp.net,2026-12-02,BR
u40025,heidi25@example.com,2026-12-25,DE
u40026,erin26@webmail.in,2026-09-01,IN
u40027,carol27@mail.org,2026-01-12,DE
u40028,carol28@example.com,2026-01-22,BR
u40029,grace29.example.com,2026-10-08,BR
u40030,frank30@example.com,2026-07-21,US
u40031,dave31@example.com,2026-06-20,US
u40032,heidi32@corp.net,2026-07-21,US
u40033,erin33@example.com,2026-03-11,US
u40034,erin34@corp.net,2026-06-12,BR
u40035,bob35@webmail.in,2026-10-16,BR
u40036,erin36@mail.org,2026-10-14,JP
u40037,grace37@webmail.in,2026-03-28,BR
u40038,bob38@mail.org,2026-07-05,US
u40039,bob39@webmail.in,2026-01-11,BR
u40040,bob40@mail.org,2026-10-11,IN
u40041,alice41@mail.org,2026-10-07,DE
u40042,frank42@webmail.in,2026-05-20,JP
u40043,heidi43@mail.org,2026-04-11,DE
u40044,grace44@corp.net,2026-06-12,US
u40045,carol45@corp.net,2026-11-01,US
u40046,heidi46@example.com,2026-03-11,IN
u40047,carol47@corp.net,2026-02-18,JP
u40048,dave48@example.com,2026-03-25,US
u40049,carol49@mail.org,2026-04-28,DE
u40050,bob50@example.com,2026-04-11,JP
u40051,erin51@mail.org,,BR
u40052,erin52@webmail.in,2026-10-12,DE
u40053,bob53@corp.net,2026-11-12,IN
u40054,dave54@webmail.in,2026-03-04,IN
u40055,carol55@mail.org,2026-01-25,DE
u40056,frank56@webmail.in,2026-06-24,DE
u40057,bob57@example.com,2026-12-05,DE
u40058,erin58@webmail.in,2026-01-02,JP
u40059,dave59@corp.net,2026-09-13,JP
u40060,grace60@corp.net,2026-08-20,DE
u40061,erin61@example.com,2026-07-09,IN
u40062,bob62@mail.org,2026-06-28,IN
u40063,carol63@corp.net,2026-05-02,BR
u40064,alice64@corp.net,2026-07-07,BR
u40065,alice65@corp.net,2026-11-11,DE
u40066,carol66@,2026-11-12,JP
u40067,frank67@mail.org,2026-11-08,IN
u40068,frank68@corp.net,2026-09-24,US
u40069,frank69@webmail.in,2026-12-20,US
u40070,carol70@corp.net,2026-03-28,DE
u40071,frank71@webmail.in,2026-09-14,US
u40072,carol72@mail.org,2026-10-02,JP
u40073,heidi73@corp.net,2026-07-18,DE
u40074,bob74@corp.net,2026-10-16,IN
u40075,heidi75.corp.net,2026-10-26,JP
u40076,grace76@webmail.in,2026-02-19,US
u40077,dave77@webmail.in,2026-08-19,BR
u40078,grace78@example.com,2026-04-21,BR
u40079,heidi79@mail.org,2026-04-06,BR
u40080,frank80@mail.org,2026-07-07,DE
u40081,carol81@webmail.in,,BR
u40082,frank82@webmail.in,2026-12-06,BR
u40083,grace83@corp.net,2026-04-23,DE
u40084,frank84@example.com,2026-04-10,BR
u40085,dave85@mail.org,2026-03-23,JP
u40086,heidi86@mail.org,2026-08-28,IN
u40087,heidi87@corp.net,2026-01-22,JP
u40088,frank88@example.com,2026-06-27,US
u40089,alice89@mail.org,2026-03-25,JP
u40090,heidi90@example.com,2026-03-26,JP
u40091,grace91@corp.net,2026-02-21,DE
u40092,heidi92@mail.org,2026-04-01,JP
u40093,bob93@webmail.in,2026-02-25,DE
u40094,erin94@example.com,2026-09-24,DE
u40095,erin95@corp.net,2026-12-18,DE
u40096,grace96@example.com,2026-03-16,JP
u40097,carol97@mail.org,2026-08-18,US
u40098,grace98@webmail.in,2026-06-17,IN
u40099,bob99@corp.net,2026-03-08,DE
